Category,Maker,pedal,URL,Price
OverDrive,Ibanez,TS Mini,,2100
OverDrive,Ibanez,TS7,,1600
OverDrive,Ibanez,TS9,,2500
Bass,Ibanez,TS9B,,2500
Tuner,Boss,TU-2,,1500
Tuner,Boss,TU-1000,,2000
Bass,EBS,UniChorus,,3000
娃娃踏板,Vox,V847,,2200
Distortion,Visual Sound,Vans,,1900
Reverb,Hotone,Verb,,1500
Bass,Roger Mayer,Voodoo Bass,,3200
DIstortion,Roger Mayer,Voodoo-X X,,6000
Looper,Hotone,Wally Looper,,1800
Distortion,H&K,Warp Factor,,1800
其他,TC Electronic,Wire Tap,,2000
娃娃踏板,Jim Dunlop,ZW-45,,2800
Delay,TC Electronic,Flashback,,3200
Reverb,TC Electronic,Hall of Fame,,3200
